name,val,group,cread,cwrite,cdesc,iread,iwrite,idesc,type,dim,min,max,special range
ParameterIdImageCaptureExposureTimeUsec,0x20000000,ImageCapture,x,x,target exp time,x,,actual exp time,int,1,1,cam max,
ParameterIdImageCaptureGain,0x30000001,ImageCapture,x,x,target gain,x,,actual gain,double,1,1,cam max,
ParameterIdImageCaptureRoi,0x20000002,ImageCapture,,,"roi shape, [x,y,w,h]",x,,"roi shape, [x,y,w,h]",int,4,"[0,0,0,0]","[nc-1,nr-1,nc,nr]",
ParameterIdImageCaptureFrameRate,0x30000007,ImageCapture,x,x,target fps,x,,actual fps,double,1,cam min,cam max,
ParameterIdSensorNumberOfBits,0x20000084,Sensor,x,,sensor num bits,x,,num signif bits,int,1,2,int max,
ParameterIdImageProcessingXyzWhite,0x3000020D,ImageProcessing,,,,x,,XYZ color space white point of color images,double,3,0,2^(bit depth),
ParameterIdImageProcessingRawBlackOffset16,0x20000219,ImageProcessing,,,,x,,raw image black offset 16 bit,int,1,0,65535,
ParameterIdImageProcessingHistogramRed,0x20000223,ImageProcessing,,,,x,,histogram red,int,256,0,255,
ParameterIdImageProcessingHistogramGreen,0x20000224,ImageProcessing,,,,x,,histogram green (bayer green 1 RAW),int,256,0,255,
ParameterIdImageProcessingHistogramGreen2,0x20000225,ImageProcessing,,,,x,,histogram bayer green 2 (RAW ONLY),int,256,0,255,
ParameterIdImageProcessingHistogramBlue,0x20000226,ImageProcessing,,,,x,,histogram blue,int,256,0,255,
ParameterIdImageProcessingHistogramGrey,0x20000227,ImageProcessing,,,,x,,histogram gray (rgb or gray),int,256,0,255,
ParameterIdImageCaptureTriggerInputMode,0x20000003,ImageCapture,x,x,"trigger input mode for image acq, does nothing with DijSDK_TriggerInputModeDisable",,,,int,1,0,DijSDK_TriggerInputModeLast,
ParameterIdImageCaptureTriggerOutputModeT1,0x20000004,ImageCapture,x,x,trigger output mode for start image acq,,,,int,1,0,DijSDK_TriggerOutputModeLast,
ParameterIdImageCaptureTriggerOutputModeT2,0x20000005,ImageCapture,x,x,"trigger output mode for finish image acq, start readout",,,,int,1,0,DijSDK_TriggerOutputModeLast,
ParameterIdImageCaptureTriggerOutputModeT3,0x20000006,ImageCapture,x,x,trigger output mode for finish readout,,,,int,1,0,DijSDK_TriggerOutputModeLast,
ParameterIdSensorSize,0x20000080,Sensor,x,,sensor size,,,,int,2,1,int max,
ParameterIdSensorColorChannels,0x20000081,Sensor,x,,sensor color channels,,,,int,1,1,4,
ParameterIdSensorRedOffset,0x20000082,Sensor,x,,"sensor bayer red offset, -1 no bayer, 0 UL, 1 UR, 2 LL, 3 LR",,,,int,1,-1,3,
ParameterIdSensorPixelSizeUm,0x30000083,Sensor,x,,sensor pixel size um,,,,double,2,>0,inf,
ParameterIdSensorFrequenciesMHz,0x20000085,Sensor,x,,sensor frequency mhz,,,,int,1,2,int max,
ParameterIdSensorImageCounter,0x20000087,Sensor,x,,sensor number of images,,,,int,1,0,cam max,
ParameterIdImageModeIndex,0x20000100,ImageMode,x,x,image capture mode,,,,int,1,0,cam num modes - 1,
ParameterIdImageModeVirtualIndex,0x20000101,ImageMode,x,x,used to get parameter info about modes without changing actual mode,,,,int,1,0,cam num modes - 1,
ParameterIdImageModeShadingIndex,0x20000102,ImageMode,x,,used to calibrate shading,,,,int,1,0,max image mode index,
ParameterIdImageModeSize,0x20000103,ImageMode,x,,width by height,,,,int,2,cam min,cam max,
ParameterIdImageModeSubsampling,0x20000104,ImageMode,x,,"offset of next pixel relative to current, x by y",,,,int,2,1,int max,
ParameterIdImageModeAveraging,0x20000105,ImageMode,x,,num sensor px averaged into 1 image px,,,,int,2,1,int max,
ParameterIdImageModeSumming,0x20000106,ImageMode,x,,num sensor px summed into 1 image px,,,,int,2,1,int max,
ParameterIdImageModeBits,0x20000107,ImageMode,x,,"num bits read from sensor, then num bits to host",,,,int,2,8,16,
ParameterIdImageModePreferredAcqMode,0x20000108,ImageMode,x,,preferred acq mode for image mode,,,,int,1,,,DijSDK_EPreferredAcqMode
ParameterIdImageModeScan,0x20000109,ImageMode,x,,num single images composing a result image,,,,int,1,,,"1, 4, 9, 16, 25, 36"
ParameterIdImageModeName,0x4000010A,ImageMode,x,,name of image mode,,,,char,1,,,
ParameterIdImageModePixelSizeMicroMeter,0x3000010B,ImageMode,x,,"size of image pixel on sensor, um",,,,double,2,>0,inf,
